Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,94.10,107.42,90.71,106.02,101.33,57641100
2022-11-01,107.49,118.40,97.55,103.24,98.68,54133800
2022-12-01,100.03,103.22,86.98,92.96,89.38,67798200
2023-01-01,92.66,119.44,91.53,119.00,114.42,80558900
2023-02-01,113.00,123.09,107.27,109.08,104.88,53495700
2023-03-01,109.49,110.37,86.84,96.16,92.91,84277800
2023-04-01,96.05,99.68,92.00,97.30,94.02,52550800
2023-05-01,97.29,105.05,83.93,104.21,100.69,86923400
2023-06-01,105.03,114.91,103.69,109.37,106.41,54546800
2023-07-01,109.47,118.96,105.55,117.02,113.85,53948600
2023-08-01,116.25,116.92,99.75,102.39,99.62,45443700
2023-09-01,103.16,104.61,94.72,97.05,94.93,40487200
2023-10-01,96.87,101.83,88.23,101.29,99.07,57315800
2023-11-01,101.65,111.97,99.37,111.66,109.22,47846900
2023-12-01,111.34,132.50,111.34,131.12,128.99,58939100
2024-01-01,130.60,140.86,123.23,135.32,133.12,59695000
2024-02-01,135.36,138.95,129.69,137.61,135.38,62319200
2024-03-01,137.72,149.28,134.60,148.89,147.13,49050700
2024-04-01,148.85,149.94,136.25,143.43,141.73,54293800
2024-05-01,143.00,145.38,133.70,137.63,136.00,41362000
2024-06-01,137.43,141.18,132.92,138.45,137.39,46362000
2024-07-01,138.80,153.35,135.36,151.40,150.24,57967500
2024-08-01,151.73,152.64,128.23,146.93,145.80,45158400
2024-09-01,145.47,154.18,131.55,149.73,149.25,47681300
2024-10-01,149.65,167.93,143.30,162.79,162.26,59622800
