Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,1.98,2.29,1.91,2.0,2.0,306800
2022-11-01,2.11,2.24,1.67,1.83,1.83,383800
2022-12-01,1.87,1.92,1.39,1.48,1.48,422000
2023-01-01,1.54,1.82,1.4,1.74,1.74,349400
2023-02-01,1.75,2.05,1.72,1.8,1.8,545300
2023-03-01,1.78,1.88,1.6,1.82,1.82,247100
2023-04-01,1.8,1.95,1.66,1.75,1.75,323600
2023-05-01,1.79,2.17,1.7,1.9,1.9,1169900
2023-06-01,1.94,2.41,1.78,2.33,2.33,843500
2023-07-01,2.33,3.1,2.23,2.86,2.86,1425500
2023-08-01,2.78,3.65,2.52,3.64,3.64,1273100
2023-09-01,3.67,3.75,3.02,3.24,3.24,1144400
2023-10-01,3.25,3.7,2.66,2.74,2.74,1005400
2023-11-01,2.72,3.58,2.62,3.24,3.24,746900
2023-12-01,3.33,3.44,2.81,2.88,2.88,804800
2024-01-01,2.78,3.68,2.75,3.67,3.67,703100
2024-02-01,3.69,4.55,3.32,4.16,4.16,1560500
2024-03-01,4.08,7.65,4.08,5.72,5.72,5986400
2024-04-01,5.81,6.4,4.1,4.84,4.84,2476600
2024-05-01,4.91,8.0,4.83,7.14,7.14,2916200
2024-06-01,7.24,7.35,5.8,6.56,6.56,2349900
2024-07-01,6.64,6.95,5.0,5.41,5.41,2092300
2024-08-01,5.37,5.57,3.5,4.11,4.11,1760800
2024-09-01,3.99,3.99,3.24,3.77,3.77,921100
2024-10-01,3.81,3.84,3.34,3.44,3.44,700700
