Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,7.30,10.00,7.05,9.60,9.43,547300
2022-11-01,9.98,9.98,8.44,9.08,8.94,262300
2022-12-01,9.17,10.25,8.20,9.79,9.64,483500
2023-01-01,9.87,11.31,9.56,11.21,11.04,494900
2023-02-01,11.29,12.13,10.55,11.89,11.73,567700
2023-03-01,11.89,13.38,10.83,11.34,11.19,745800
2023-04-01,11.34,11.93,10.99,11.15,11.00,131300
2023-05-01,11.25,11.25,9.55,9.62,9.51,208900
2023-06-01,9.53,12.70,9.53,12.60,12.46,364700 
2023-07-01,12.67,18.15,12.08,17.79,17.59,899200 
2023-08-01,17.93,18.31,13.53,13.92,13.78,735400 
2023-09-01,14.13,14.60,11.97,13.40,13.27,658400 
2023-10-01,13.25,13.51,9.50,9.66,9.56,517900 
2023-11-01,9.61,12.95,9.57,12.00,11.90,298100
2023-12-01,12.25,16.48,12.02,15.46,15.33,545600 
2024-01-01,15.31,17.66,15.01,16.70,16.56,436400
2024-02-01,16.45,19.33,15.30,18.35,18.22,481500
2024-03-01,18.35,18.88,16.37,18.74,18.61,355500
2024-04-01,18.40,19.52,17.88,19.43,19.29,358700
2024-05-01,19.43,19.43,17.37,18.30,18.21,245400
2024-06-01,18.12,18.25,13.78,15.10,15.02,465600
2024-07-01,15.12,19.12,14.01,16.90,16.81,480400
2024-08-01,16.64,17.30,14.24,15.05,15.01,414300
2024-09-01,14.90,16.45,13.71,16.02,15.98,282000
2024-10-01,15.67,16.74,13.86,13.95,13.91,233100
