Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,60.04,72.25,59.37,71.29,68.97,11669000
2022-11-01,71.74,76.06,67.63,75.98,73.50,11513100
2022-12-01,76.13,76.33,68.35,70.67,68.66,11007700
2023-01-01,70.97,82.47,68.93,82.35,80.01,10380500
2023-02-01,82.06,87.86,79.34,85.45,83.02,13916300
2023-03-01,85.39,89.40,73.56,81.72,79.68,13390700
2023-04-01,81.56,82.29,73.34,76.85,74.93,12348200
2023-05-01,76.77,80.74,71.19,71.55,69.76,12257200
2023-06-01,71.89,92.36,71.62,91.53,89.65,12326500 
2023-07-01,91.26,95.08,87.83,92.86,90.95,9966600 
2023-08-01,92.15,94.20,74.01,76.42,74.85,16997300 
2023-09-01,77.24,78.48,70.97,73.49,72.29,10754500 
2023-10-01,73.63,75.23,68.47,69.12,67.99,12031300 
2023-11-01,67.05,75.69,65.71,72.40,71.22,10449900
2023-12-01,72.47,81.71,72.47,80.15,79.21,9542600 
2024-01-01,79.84,84.08,76.64,81.91,80.95,8751200
2024-02-01,82.61,86.42,79.15,83.99,83.00,13227200
2024-03-01,84.51,89.64,82.91,87.43,86.75,9221700
2024-04-01,87.55,94.71,83.63,89.22,88.53,10671500
2024-05-01,89.92,93.66,83.88,86.89,86.22,9418300
2024-06-01,87.56,87.56,79.12,80.13,79.80,7448200
2024-07-01,80.56,90.49,78.50,86.95,86.60,11376300
2024-08-01,84.69,86.93,77.71,84.53,84.19,8971900
2024-09-01,83.51,86.92,76.75,84.29,84.29,10357100
2024-10-01,84.29,87.52,80.74,83.00,83.00,8980400
