Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,89.55,118.16,82.50,115.87,114.66,17384900
2022-11-01,116.83,132.73,109.35,130.85,129.48,15398500
2022-12-01,132.41,142.39,125.60,140.89,139.63,15784600
2023-01-01,142.52,152.75,140.29,148.21,146.88,12183200
2023-02-01,147.65,154.65,124.00,133.57,132.38,11186000
2023-03-01,132.66,132.66,113.69,127.10,126.14,16818100
2023-04-01,127.27,150.48,126.79,150.35,149.21,12637700
2023-05-01,150.45,152.12,125.53,132.13,131.13,14339300
2023-06-01,132.02,158.57,130.83,157.77,156.81,14536100
2023-07-01,156.52,157.44,136.74,138.96,138.12,14395300
2023-08-01,139.06,140.21,127.22,134.70,133.88,14207900
2023-09-01,135.71,135.97,122.06,125.73,125.15,10516900
2023-10-01,125.17,132.68,119.90,125.89,125.31, 14165000
2023-11-01,124.69,139.60,124.28,137.48,136.85,9777700
2023-12-01,137.52,155.18,133.70,152.44,151.96,9336000
2024-01-01,152.87,161.32,150.11,158.81,158.31,10271100
2024-02-01,158.44,176.43,157.69,167.06,166.54,10651400
2024-03-01,167.06,183.61,166.04,182.46,182.11,11827300
2024-04-01,180.00,180.00,152.69,170.43,170.11,16321500
2024-05-01,169.42,189.95,167.13,189.80,189.44,14941200
2024-06-01,188.48,194.02,181.20,184.93,184.58,11762200
2024-07-01,186.05,219.61,177.35,213.76,213.58,19230200
2024-08-01,215.11,238.26,205.15,237.97,237.77,14109500
2024-09-01,237.27,243.25,212.08,229.01,228.82,13798500
2024-10-01,228.59,240.26,201.87,204.31,204.31,19760700
