Date,COF,DTST,FRD,TGB,TKR,UHS
2022-10-01,57641100,306800,547300,28181000,11669000,17384900
2022-11-01,54133800,383800,262300,34023600,11513100,15398500
2022-12-01,67798200,422000,483500,30516600,11007700,15784600
2023-01-01,80558900,349400,494900,25779100,10380500,12183200
2023-02-01,53495700,545300,567700,26087500,13916300,11186000
2023-03-01,84277800,247100,745800,31900000,13390700,16818100
2023-04-01,52550800,323600,131300,18806200,12348200,12637700
2023-05-01,86923400,1169900,208900,20916700,12257200,14339300
2023-06-01,54546800,843500,364700,19246500,12326500,14536100
2023-07-01,53948600,1425500,899200,17001100,9966600,14395300
2023-08-01,45443700,1273100,735400,15656300,16997300,14207900
2023-09-01,40487200,1144400,658400,23672200,10754500,10516900
2023-10-01,57315800,1005400,517900,14526700,12031300,14165000
2023-11-01,47846900,746900,298100,13979600,10449900,9777700
2023-12-01,58939100,804800,545600,20380200,9542600,9336000
2024-01-01,59695000,703100,436400,27925900,8751200,10271100
2024-02-01,62319200,1560500,481500,18407500,13227200,10651400
2024-03-01,49050700,5986400,355500,56381700,9221700,11827300
2024-04-01,54293800,2476600,358700,74684800,10671500,16321500
2024-05-01,41362000,2916200,245400,86811600,9418300,14941200
2024-06-01,46362000,2349900,465600,67134600,7448200,11762200
2024-07-01,57967500,2092300,480400,58127100,11376300,19230200
2024-08-01,45158400,1760800,414300,60890000,8971900,14109500
2024-09-01,47681300,921100,282000,65543600,10357100,13798500
2024-10-01,59622800,700700,233100,72019800,8980400,19760700
